COL_DTM,STD_LINK_ID,SPEED,COL_TYPE
20231018080000,2050035600,7,MOCT
20231018080000,2050035700,20,MOCT
20231018080000,2050035800,20,MOCT
20231018080000,2050035900,29,MOCT
20231018080000,2050036000,25,MOCT
20231018080000,2050036100,11,MOCT
20231018080000,2050036200,4,MOCT
20231018080000,2050036300,7,MOCT
20231018080000,2050036400,31,MOCT
20231018080000,2050036500,15,MOCT
20231018080000,2050036600,32,MOCT
20231018080000,2050036700,19,MOCT
20231018080000,2050036800,21,MOCT
20231018080000,2050036900,13,MOCT
20231018080000,2050037000,7,MOCT
20231018080000,2050037100,14,MOCT
20231018080000,2050037200,12,MOCT
20231018080000,2050037301,28,MOCT
20231018080000,2050037302,22,MOCT
20231018080000,2050037401,21,MOCT
20231018080000,2050037402,21,MOCT
20231018080000,2050037500,4,MOCT
20231018080000,2050037600,18,MOCT
20231018080000,2050037700,21,MOCT
20231018080000,2050037800,26,MOCT
20231018080000,2050037900,20,MOCT
20231018080000,2050038000,14,MOCT
20231018080000,2050038100,8,MOCT
20231018080000,2050038200,23,MOCT
20231018080000,2050038300,26,MOCT
20231018080000,2050038400,15,MOCT
20231018080000,2050038500,6,MOCT
20231018080000,2050038600,36,MOCT
20231018080000,2050038900,16,MOCT
20231018080000,2050039000,22,MOCT
20231018080000,2050039100,25,MOCT
20231018080000,2050039200,15,MOCT
20231018080000,2050039300,35,MOCT
20231018080000,2050039400,40,MOCT
20231018080000,2050039500,29,MOCT
20231018080000,2050039600,34,MOCT
20231018080000,2050039700,4,MOCT
20231018080000,2050039800,19,MOCT
20231018080000,2050039900,19,MOCT
20231018080000,2050040000,8,MOCT
20231018080000,2050040100,38,MOCT
20231018080000,2050040200,29,MOCT
20231018080000,2050040300,34,MOCT
20231018080000,2050040400,37,MOCT
20231018080000,2050040500,52,MOCT
20231018080000,2050040600,54,MOCT
20231018080000,2050040700,13,MOCT
20231018080000,2050040800,29,MOCT
20231018080000,2050040900,14,MOCT
20231018080000,2050041000,7,MOCT
20231018080000,2050041700,39,MOCT
20231018080000,2050041800,30,MOCT
20231018080000,2050041900,6,MOCT
20231018080000,2050042000,16,MOCT
20231018080000,2050042100,19,MOCT
20231018080000,2050042200,25,MOCT
20231018080000,2050042300,50,MOCT
20231018080000,2050042400,57,MOCT
20231018080000,2050042600,23,MOCT
20231018080000,2050042901,19,MOCT
20231018080000,2050042902,19,MOCT
20231018080000,2050043001,30,MOCT
20231018080000,2050043002,46,MOCT
20231018080000,2050043100,10,MOCT
20231018080000,2050043200,19,MOCT
20231018080000,2050043300,19,MOCT
20231018080000,2050043400,23,MOCT
20231018080000,2050043500,62,MOCT
20231018080000,2050043600,67,MOCT
20231018080000,2050043700,23,MOCT
20231018080000,2050043800,23,MOCT
20231018080000,2050043900,11,MOCT
20231018080000,2050044000,24,MOCT
20231018080000,2050044300,9,MOCT
20231018080000,2050044400,17,MOCT
20231018080000,2050044500,21,MOCT
20231018080000,2050044600,17,MOCT
20231018080000,2050044700,13,MOCT
20231018080000,2050044800,21,MOCT
20231018080000,2050044901,36,MOCT
20231018080000,2050044902,40,MOCT
20231018080000,2050045001,31,MOCT
20231018080000,2050045002,28,MOCT
20231018080000,2050045100,24,MOCT
20231018080000,2050045200,6,MOCT
20231018080000,2050045300,14,MOCT
20231018080000,2050045400,19,MOCT
20231018080000,2050045500,13,MOCT
20231018080000,2050045600,10,MOCT
20231018080000,2050045700,13,MOCT
20231018080000,2050045800,10,MOCT
20231018080000,2050045900,13,MOCT
20231018080000,2050046000,16,MOCT
20231018080000,2050046100,23,MOCT
20231018080000,2050046200,31,MOCT
20231018080000,2050046300,49,MOCT
20231018080000,2050046400,63,MOCT
20231018080000,2050046500,41,MOCT
20231018080000,2050046600,39,MOCT
20231018080000,2050046700,16,MOCT
