COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231019140949,318,2,1,2023-10-19 14:09:50
20231019140949,574,4,1,2023-10-19 14:09:50
20231019140949,561,4,1,2023-10-19 14:09:50
20231019140949,587,2,1,2023-10-19 14:09:50
20231019140949,79,2,1,2023-10-19 14:09:50
20231019140949,565,2,1,2023-10-19 14:09:50
20231019140949,400,2,1,2023-10-19 14:09:50
20231019140949,118,4,1,2023-10-19 14:09:50
20231019140949,717,2,1,2023-10-19 14:09:50
20231019140949,487,2,4,2023-10-19 14:09:50
20231019140949,526,2,1,2023-10-19 14:09:50
20231019140949,513,4,1,2023-10-19 14:09:50
20231019140949,257,2,1,2023-10-19 14:09:50
20231019140949,808,2,1,2023-10-19 14:09:50
20231019140909,440,1,3,2023-10-19 14:09:10
20231019140949,270,2,1,2023-10-19 14:09:50
20231019140949,530,4,1,2023-10-19 14:09:50
20231019141003,722,1,1,2023-10-19 14:10:04
20231019140949,543,4,1,2023-10-19 14:09:50
20231019140909,251,1,1,2023-10-19 14:09:10
20231019140949,413,2,1,2023-10-19 14:09:50
20231019140949,669,2,1,2023-10-19 14:09:50
20231019140949,708,2,1,2023-10-19 14:09:50
20231019140949,695,2,1,2023-10-19 14:09:50
20231019140949,491,2,1,2023-10-19 14:09:50
20231019140949,482,2,1,2023-10-19 14:09:50
20231019140949,725,2,1,2023-10-19 14:09:50
20231019140911,146,1,1,2023-10-19 14:09:12
20231019140949,213,4,1,2023-10-19 14:09:50
20231019140949,135,1,3,2023-10-19 14:09:50
20231019140949,430,2,1,2023-10-19 14:09:50
20231019140949,443,2,2,2023-10-19 14:09:50
20231019140949,434,4,1,2023-10-19 14:09:50
20231019140911,724,1,1,2023-10-19 14:09:12
20231019140949,690,2,2,2023-10-19 14:09:50
20231016054110,387,1,2,2023-10-16 05:41:11
20231019140911,281,1,1,2023-10-19 14:09:12
20231019140911,358,1,1,2023-10-19 14:09:12
20231019140911,13,1,1,2023-10-19 14:09:12
20231019140928,30,1,1,2023-10-19 14:09:29
20231019140928,436,1,3,2023-10-19 14:09:29
20231019140912,585,1,1,2023-10-19 14:09:13
20231019140949,672,1,6,2023-10-19 14:09:50
20231019140937,33,1,5,2023-10-19 14:09:38
20231019140912,484,1,1,2023-10-19 14:09:13
20231019140938,2,1,1,2023-10-19 14:09:39
20231019141000,621,1,1,2023-10-19 14:10:01
20231019140912,284,1,1,2023-10-19 14:09:13
20231019140949,260,2,1,2023-10-19 14:09:50
20231019140912,256,1,1,2023-10-19 14:09:13
20231019140912,38,1,1,2023-10-19 14:09:13
20231019140949,529,2,1,2023-10-19 14:09:50
20231019140938,592,1,4,2023-10-19 14:09:39
20231019140912,39,1,1,2023-10-19 14:09:13
20231019140938,269,1,1,2023-10-19 14:09:39
20231019140912,184,1,3,2023-10-19 14:09:13
20231019140912,286,1,1,2023-10-19 14:09:13
20231019140949,555,4,1,2023-10-19 14:09:50
20231019140950,612,1,1,2023-10-19 14:09:51
20231019141000,480,1,3,2023-10-19 14:10:01
20231019140912,426,1,1,2023-10-19 14:09:13
20231019141000,196,1,2,2023-10-19 14:10:01
20231019140938,606,1,1,2023-10-19 14:09:39
20231019141000,222,1,1,2023-10-19 14:10:01
20231019140939,668,1,1,2023-10-19 14:09:40
20231019140912,723,1,1,2023-10-19 14:09:13
20231019141000,69,1,1,2023-10-19 14:10:01
20231019141002,501,1,1,2023-10-19 14:10:03
20231019140913,536,1,2,2023-10-19 14:09:14
20231019140949,546,4,1,2023-10-19 14:09:50
20231019140949,572,4,1,2023-10-19 14:09:50
20231019140913,643,1,1,2023-10-19 14:09:14
20231019140938,504,1,1,2023-10-19 14:09:39
20231019140949,99,1,3,2023-10-19 14:09:50
20231019141000,133,1,3,2023-10-19 14:10:01
20231019140913,111,1,3,2023-10-19 14:09:14
20231019140938,568,1,2,2023-10-19 14:09:39
20231019141000,613,1,1,2023-10-19 14:10:01
20231019140913,70,1,1,2023-10-19 14:09:14
20231019140939,65,1,4,2023-10-19 14:09:40
20231019140949,442,2,1,2023-10-19 14:09:50
20231019141001,252,1,3,2023-10-19 14:10:02
20231019140949,429,2,1,2023-10-19 14:09:50
20231019140949,468,2,1,2023-10-19 14:09:50
20231019140949,455,4,1,2023-10-19 14:09:50
20231019140939,465,1,2,2023-10-19 14:09:40
20231019141001,700,1,1,2023-10-19 14:10:02
20231019141001,278,1,1,2023-10-19 14:10:02
20231019140914,160,1,4,2023-10-19 14:09:15
20231019141001,342,1,1,2023-10-19 14:10:02
20231019140939,328,1,4,2023-10-19 14:09:40
20231019140949,8,2,1,2023-10-19 14:09:50
20231019141001,393,1,1,2023-10-19 14:10:02
20231019140949,421,4,1,2023-10-19 14:09:50
20231019140915,682,1,1,2023-10-19 14:09:16
20231019140915,683,1,1,2023-10-19 14:09:16
20231016054110,549,1,1,2023-10-16 05:41:11
20231019141002,616,1,1,2023-10-19 14:10:03
20231019140940,64,1,4,2023-10-19 14:09:41
