INT_NO,INT_PHASE_NO,INT_PLAN_CLSS,INT_RING,INT_FLOW_NO,INT_MIN_SPLIT,INT_MAX_SPLIT,INT_YELLOW,INT_MAIN_PHASE,INT_LANE,INT_PHASE_LAT1,INT_PHASE_LNG1,INT_PHASE_LAT2,INT_PHASE_LNG2,INT_PHASE_LAT3,INT_PHASE_LNG3
217,3,0,1,3,0,0,0,0,0,37.3596,127.10988,37.35991,127.10974,37.3599,127.10959
217,4,0,0,7,0,0,0,0,0,37.36026,127.10998,37.35994,127.10998,37.35994,127.11013
217,4,0,1,4,0,0,0,0,0,37.36026,127.10973,37.35994,127.10973,37.35983,127.10978
218,1,0,0,6,0,0,0,0,0,37.36005,127.11216,37.36005,127.11176,37.36005,127.11161
218,1,0,1,2,0,0,0,0,0,37.35985,127.11135,37.35985,127.11176,37.35985,127.1119
218,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
219,1,0,0,8,0,0,0,0,0,37.35756,127.10613,37.35788,127.10612,37.358,127.10612
219,1,0,1,4,0,0,0,0,0,37.35821,127.10587,37.35788,127.10588,37.35776,127.10588
219,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
220,1,0,1,4,0,0,0,0,0,37.35696,127.10588,37.35664,127.10589,37.35652,127.10588
220,1,0,0,7,0,0,0,0,0,37.35697,127.10613,37.35664,127.10613,37.35664,127.10628
220,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
220,3,0,0,6,0,0,0,0,0,37.35674,127.10642,37.35674,127.10601,37.35674,127.10586
220,3,0,1,2,0,0,0,0,0,37.35655,127.1056,37.35654,127.10601,37.35654,127.10615
220,4,0,0,5,0,0,0,0,0,37.35675,127.10561,37.35674,127.10601,37.35686,127.10601
220,4,0,1,1,0,0,0,0,0,37.35654,127.10642,37.35654,127.10601,37.35642,127.10601
220,5,0,0,8,0,0,0,0,0,37.35632,127.10613,37.35664,127.10613,37.35676,127.10613
220,5,0,1,3,0,0,0,0,0,37.35632,127.10588,37.35664,127.10589,37.35665,127.10574
221,1,0,0,6,0,0,0,0,0,37.35675,127.1076,37.35675,127.1072,37.35675,127.10705
221,1,0,1,2,0,0,0,0,0,37.35655,127.10679,37.35655,127.1072,37.35655,127.10735
221,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
221,3,0,0,6,0,0,0,0,0,37.35675,127.1076,37.35675,127.1072,37.35675,127.10705
221,3,0,1,2,0,0,0,0,0,37.35655,127.10679,37.35655,127.1072,37.35655,127.10735
221,4,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
222,1,0,0,8,0,0,0,0,0,37.35636,127.10868,37.35668,127.10861,37.3568,127.1086
222,1,0,1,4,0,0,0,0,0,37.35698,127.10832,37.35665,127.10837,37.35654,127.10839
222,2,0,0,7,0,0,0,0,0,37.357,127.10857,37.35668,127.10861,37.35667,127.10876
222,2,0,1,4,0,0,0,0,0,37.35698,127.10832,37.35665,127.10837,37.35654,127.10839
222,3,0,1,2,0,0,0,0,0,37.35656,127.10809,37.35656,127.10849,37.35656,127.10864
222,3,0,0,6,0,0,0,0,0,37.35675,127.1089,37.35676,127.10849,37.35676,127.10835
222,4,0,0,5,0,0,0,0,0,37.35676,127.10808,37.35676,127.10849,37.35688,127.10847
222,4,0,1,1,0,0,0,0,0,37.35655,127.10889,37.35656,127.10849,37.35645,127.10851
222,5,0,0,8,0,0,0,0,0,37.35636,127.10868,37.35668,127.10861,37.3568,127.1086
222,5,0,1,3,0,0,0,0,0,37.35633,127.10844,37.35665,127.10837,37.35664,127.10822
223,1,0,0,6,0,0,0,0,0,37.35665,127.11059,37.35671,127.1102,37.35672,127.11005
223,1,0,1,2,0,0,0,0,0,37.35653,127.10976,37.35652,127.11017,37.35649,127.11031
223,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
224,1,0,0,6,0,0,0,0,0,37.35554,127.11308,37.35573,127.11275,37.35579,127.11263
224,1,0,1,2,0,0,0,0,0,37.35574,127.11227,37.35556,127.11261,37.3555,127.11273
224,2,0,1,3,0,0,0,0,0,37.35543,127.11235,37.3557,127.11258,37.35576,127.11245
225,1,0,0,6,0,0,0,0,0,37.35441,127.11513,37.3546,127.11479,37.35466,127.11467
225,1,0,1,2,0,0,0,0,0,37.35462,127.11432,37.35443,127.11465,37.35437,127.11477
225,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
226,1,0,1,4,0,0,0,0,0,37.35501,127.11848,37.35473,127.11829,37.35463,127.11821
226,1,0,0,8,0,0,0,0,0,37.35436,127.11827,37.35462,127.1185,37.35473,127.11857
226,2,0,0,7,0,0,0,0,0,37.35492,127.1187,37.35464,127.11851,37.35456,127.11863
226,2,0,1,3,0,0,0,0,0,37.35447,127.11807,37.35474,127.1183,37.3548,127.11817
226,3,0,1,1,0,0,0,0,0,37.3544,127.11865,37.3546,127.11832,37.35451,127.11824
226,4,0,0,5,0,0,0,0,0,37.35494,127.11813,37.35476,127.11847,37.35487,127.11854
227,1,0,0,8,0,0,0,0,0,37.35288,127.11698,37.35315,127.11721,37.35324,127.1173
227,1,0,1,3,0,0,0,0,0,37.35299,127.11678,37.35326,127.11701,37.35333,127.11689
227,2,0,0,7,0,0,0,0,0,37.35341,127.11745,37.35315,127.11721,37.35308,127.11734
227,2,0,1,4,0,0,0,0,0,37.35353,127.11724,37.35326,127.11701,37.35316,127.11693
227,3,0,0,6,0,0,0,0,0,37.35311,127.11752,37.35329,127.11718,37.35335,127.11706
227,3,0,1,1,0,0,0,0,0,37.35294,127.11738,37.35312,127.11704,37.35303,127.11696
227,4,0,0,6,0,0,0,0,0,37.35311,127.11752,37.35329,127.11718,37.35335,127.11706
227,4,0,1,2,0,0,0,0,0,37.35331,127.11671,37.35312,127.11704,37.35306,127.11716
227,5,0,1,2,0,0,0,0,0,37.35331,127.11671,37.35312,127.11704,37.35306,127.11716
227,5,0,0,5,0,0,0,0,0,37.35347,127.11685,37.35329,127.11718,37.35338,127.11727
228,1,0,0,6,0,0,0,0,0,37.35241,127.11877,37.35261,127.11845,37.35267,127.11833
228,1,0,1,2,0,0,0,0,0,37.35263,127.11797,37.35245,127.11831,37.35238,127.11842
228,2,0,1,3,0,0,0,0,0,37.35232,127.11805,37.35259,127.11827,37.35265,127.11815
228,3,0,0,6,0,0,0,0,0,37.35241,127.11877,37.35261,127.11845,37.35267,127.11833
228,3,0,1,2,0,0,0,0,0,37.35263,127.11797,37.35245,127.11831,37.35238,127.11842
228,4,0,1,3,0,0,0,0,0,37.35232,127.11805,37.35259,127.11827,37.35265,127.11815
229,1,0,0,8,0,0,0,0,0,37.35462,127.10613,37.35494,127.10613,37.35506,127.10613
229,1,0,1,4,0,0,0,0,0,37.35527,127.10588,37.35494,127.10588,37.35483,127.10588
229,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
231,1,0,1,4,0,0,0,0,0,37.35375,127.10588,37.35342,127.10588,37.35331,127.10588
231,1,0,0,7,0,0,0,0,0,37.35375,127.10613,37.35342,127.10613,37.35343,127.10628
231,2,0,0,8,0,0,0,0,0,37.3531,127.10614,37.35343,127.10613,37.35354,127.10613
231,2,0,1,3,0,0,0,0,0,37.3531,127.10589,37.35342,127.10588,37.35342,127.10573
231,3,0,0,6,0,0,0,0,0,37.35353,127.10641,37.35352,127.106,37.35353,127.10586
231,3,0,1,2,0,0,0,0,0,37.35333,127.1056,37.35333,127.106,37.35333,127.10615
231,4,0,0,5,0,0,0,0,0,37.35353,127.1056,37.35352,127.10601,37.35364,127.10601
231,4,0,1,1,0,0,0,0,0,37.35333,127.10641,37.35333,127.10601,37.35321,127.10601
232,1,0,0,8,0,0,0,0,0,37.35312,127.10902,37.35344,127.109,37.35356,127.109
232,1,0,1,4,0,0,0,0,0,37.35376,127.10875,37.35344,127.10876,37.35332,127.10876
232,2,0,1,3,0,0,0,0,0,37.35311,127.10877,37.35344,127.10876,37.35344,127.10861
232,2,0,0,7,0,0,0,0,0,37.35377,127.109,37.35344,127.109,37.35345,127.10915
232,3,0,0,6,0,0,0,0,0,37.35356,127.10928,37.35354,127.10887,37.35354,127.10873
232,3,0,1,2,0,0,0,0,0,37.35334,127.10847,37.35334,127.10888,37.35335,127.10903
232,4,0,0,5,0,0,0,0,0,37.35354,127.10847,37.35354,127.10888,37.35366,127.10888
232,4,0,1,1,0,0,0,0,0,37.35336,127.10929,37.35334,127.10889,37.35322,127.10889
