COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231000000000,276,1,1,2023-10-18 08:00:00
20231000000000,298,1,1,2023-10-18 08:00:00
20231000000000,352,1,4,2023-10-18 08:00:00
20231000000000,366,1,1,2023-10-18 08:00:00
20231000000000,424,1,2,2023-10-18 08:00:00
20231000000000,509,1,1,2023-10-18 08:00:00
20231000000000,656,1,2,2023-10-18 08:00:00
20231000000000,746,1,2,2023-10-18 08:00:00
20231000000000,25,1,2,2023-10-18 08:00:00
20231000000000,52,1,3,2023-10-18 08:00:00
20231000000000,74,1,3,2023-10-18 08:00:00
20231000000000,81,1,3,2023-10-18 08:00:00
20231000000000,205,1,3,2023-10-18 08:00:00
20231000000000,230,1,2,2023-10-18 08:00:00
20231000000000,289,1,3,2023-10-18 08:00:00
20231000000000,461,1,3,2023-10-18 08:00:00
20231000000000,477,1,4,2023-10-18 08:00:00
20231000000000,483,1,3,2023-10-18 08:00:00
20231000000000,716,1,2,2023-10-18 08:00:00
20231000000000,227,1,4,2023-10-18 08:00:00
20231000000000,390,1,2,2023-10-18 08:00:00
20231000000000,7,1,2,2023-10-18 08:00:00
20231000000000,17,1,2,2023-10-18 08:00:00
20231000000000,69,1,1,2023-10-18 08:00:00
20231000000000,73,1,1,2023-10-18 08:00:00
20231000000000,121,1,1,2023-10-18 08:00:00
20231000000000,130,1,4,2023-10-18 08:00:00
20231000000000,168,1,2,2023-10-18 08:00:00
20231000000000,200,1,1,2023-10-18 08:00:00
20231000000000,224,1,2,2023-10-18 08:00:00
20231000000000,254,1,1,2023-10-18 08:00:00
20231000000000,284,1,2,2023-10-18 08:00:00
20231000000000,290,1,1,2023-10-18 08:00:00
20231000000000,507,1,4,2023-10-18 08:00:00
20231000000000,629,1,1,2023-10-18 08:00:00
20231000000000,630,1,1,2023-10-18 08:00:00
20231000000000,660,1,3,2023-10-18 08:00:00
20231000000000,676,1,3,2023-10-18 08:00:00
20231000000000,728,1,1,2023-10-18 08:00:00
20231000000000,64,1,1,2023-10-18 08:00:00
20231000000000,65,1,1,2023-10-18 08:00:00
20231000000000,67,1,1,2023-10-18 08:00:00
20231000000000,83,1,3,2023-10-18 08:00:00
20231000000000,109,1,3,2023-10-18 08:00:00
20231000000000,135,1,4,2023-10-18 08:00:00
20231000000000,145,1,1,2023-10-18 08:00:00
20231000000000,201,1,4,2023-10-18 08:00:00
20231000000000,273,1,3,2023-10-18 08:00:00
20231000000000,283,1,2,2023-10-18 08:00:00
